Feature,PFI
rf,0.8262752552713343
Price,0.20904382339733787
IndMom,0.14997861066863374
High52,0.12703671945715653
ret,0.12458544509830238
Size,0.11132685824702163
IdioVolAHT,0.10589614575729418
RealizedVol,0.09361498190374991
CoskewACX,0.08959234994036473
prc,0.08296441046329182
Mom12m,0.08012872450857646
VolMkt,0.062469476995292615
IntMom,0.061743230432629324
Coskewness,0.05841955437410371
PriceDelayRsq,0.05491270822664633
Illiquidity,0.0500652936141599
BidAskSpread,0.048684300717899656
FirmAge,0.04732482927963735
IdioVol3F,0.04693710940412006
MaxRet,0.046052533098524265
Mom12mOffSeason,0.04546026168209212
Mom6m,0.04497488995594422
DolVol,0.0447072904324194
Beta,0.04415585677781275
MomSeasonShort,0.04098176301481118
VolSD,0.038713734134946644
BetaFP,0.03802623794525887
betaVIX,0.03723049956402443
OPLeverage,0.0368795509793448
BookLeverage,0.02764483262103956
ReturnSkew,0.02316924970632045
BetaLiquidityPS,0.023002812680093732
ReturnSkew3F,0.022456274122773633
PriceDelayTstat,0.021735153250068074
PriceDelaySlope,0.020515389799094307
zerotrade6M,0.010060347442486017
zerotrade1M,0.00940093982757163
zerotrade12M,0.009304880691178175
ShareRepurchase,0.0037617750858798147
IndIPO,0.002606367127105813
ConvDebt,0.0018231674904156114
Spinoff,0.001182838249132534
DivInit,0.00048726805063907807
RDIPO,0.0004085087157058687
DivOmit,0.00025172556721653194
ExchSwitch,0.00024701909188699076
