Feature,SHAP
rf,3.8281874194907433
ret,0.5043739404112313
IndMom,0.393955462337469
RealizedVol,0.36930852737366726
Price,0.32891013325353485
High52,0.3006280571286708
Size,0.2988299471900289
CoskewACX,0.27277887820948554
IdioVolAHT,0.26137268836104455
prc,0.22203918779477022
Coskewness,0.20881020938476375
FirmAge,0.19448547272006833
Mom12m,0.19362011088771472
MomSeasonShort,0.17646703427049734
IdioVol3F,0.17390571466940266
betaVIX,0.17187829684081105
Beta,0.16960996386558658
BidAskSpread,0.16665642095843733
IntMom,0.16452407039663555
BetaFP,0.16290637703122723
VolMkt,0.14722954201149116
PriceDelayRsq,0.145257424044038
BetaLiquidityPS,0.13996542302375828
Mom12mOffSeason,0.13958792099282832
MaxRet,0.1323455290292572
OPLeverage,0.1297619784890719
Mom6m,0.12822831560628178
DolVol,0.1251205050417366
VolSD,0.12104977097665637
BookLeverage,0.10183581101168905
Illiquidity,0.09884046209217674
PriceDelayTstat,0.08650283364415565
PriceDelaySlope,0.08510249917577119
ReturnSkew,0.08073497324687016
ReturnSkew3F,0.07341317193291451
IndIPO,0.05500842930155762
zerotrade1M,0.050914690702083876
zerotrade6M,0.04455834525910438
zerotrade12M,0.038198338782203
ShareRepurchase,0.0208810517267011
ConvDebt,0.014343639889488646
Spinoff,0.013130186531061462
DivInit,0.007079346317571829
RDIPO,0.002531655427345564
ExchSwitch,0.0018137798530815314
DivOmit,0.0007858836139774504
