Feature,XGBoost_Importance,SHAP_Importance,PFI_Importance,XGBoost_Importance_Normalized,SHAP_Importance_Normalized,PFI_Importance_Normalized
rf,0.13012189,3.6138733339566143,76.89574118642881,1.0,1.0,1.0
ret,0.044179674,0.3214425185311771,8.6780529226341,0.3395253,0.08894681379971027,0.11285479258980956
IndMom,0.052955173,0.6206023355295668,12.335846565533666,0.4069659,0.1717277497521216,0.16042301400835965
RealizedVol,0.047528848,0.7836380423348882,17.854391105595983,0.36526406,0.21684159070316106,0.2321895963302981
Price,0.03566725,0.21013372762533936,6.7354300332284875,0.27410647,0.058146400885411356,0.08759171742553165
High52,0.06889346,0.45679090545246726,12.47332899025344,0.5294533,0.12639925731773066,0.16221092088848785
Size,0.06308848,0.5863340147316154,11.05771742323492,0.4848414,0.16224531425114264,0.1438014284357594
CoskewACX,0.05293273,0.25972168089618974,5.0577289675136115,0.40679345,0.07186795354884118,0.06577385027411949
IdioVolAHT,0.04666935,1.1615469555583156,16.907558651187163,0.35865873,0.32141330041764554,0.21987639874874043
prc,0.041895777,0.5355318297966432,4.923681072015517,0.32197332,0.1481877698270961,0.06403060814614385
Coskewness,0.04180556,0.22163969096708558,3.832398371436665,0.32128,0.061330232270322964,0.04983888980464159
FirmAge,0.06435591,0.47593091891306594,9.334865702326146,0.49458176,0.13169551750503594,0.12139639410841183
Mom12m,0.034960777,0.8956569012281095,18.397887040353055,0.26867715,0.24783848753423468,0.2392575551843444
MomSeasonShort,0.055882905,0.5134839132244224,3.669347028295249,0.42946583,0.1420868596582049,0.04771846882129859
IdioVol3F,0.03277349,0.13855243895846753,18.770435553036066,0.25186762,0.03833904128753033,0.2441024075381281
betaVIX,0.04452375,0.16841572682327333,4.313293151965155,0.34216955,0.04660255389717409,0.056092744349883455
Beta,0.03900068,0.1418121451831384,3.4659494168319327,0.2997242,0.03924103920595267,0.045073359894262026
BidAskSpread,0.036442623,0.20615334536810792,27.295121050636006,0.28006527,0.057044983683034324,0.35496271483307157
IntMom,0.035138763,0.47946996136534736,8.1329908310389,0.27004498,0.13267481094596204,0.10576646645905893
BetaFP,0.031182937,0.1197180684495649,3.030892777100121,0.23964407,0.033127355993546326,0.039415613014925174
