Feature,PFI
rf,76.89574118642881
BidAskSpread,27.295121050636006
IdioVol3F,18.770435553036066
Mom12m,18.397887040353055
RealizedVol,17.854391105595983
IdioVolAHT,16.907558651187163
High52,12.47332899025344
IndMom,12.335846565533666
Size,11.05771742323492
FirmAge,9.334865702326146
ret,8.6780529226341
IntMom,8.1329908310389
Price,6.7354300332284875
CoskewACX,5.0577289675136115
prc,4.923681072015517
betaVIX,4.313293151965155
Coskewness,3.832398371436665
MomSeasonShort,3.669347028295249
Beta,3.4659494168319327
BetaFP,3.030892777100121
