Feature,SHAP
rf,3.6138733339566143
IdioVolAHT,1.1615469555583156
Mom12m,0.8956569012281095
RealizedVol,0.7836380423348882
IndMom,0.6206023355295668
Size,0.5863340147316154
prc,0.5355318297966432
MomSeasonShort,0.5134839132244224
IntMom,0.47946996136534736
FirmAge,0.47593091891306594
High52,0.45679090545246726
ret,0.3214425185311771
CoskewACX,0.25972168089618974
Coskewness,0.22163969096708558
Price,0.21013372762533936
BidAskSpread,0.20615334536810792
betaVIX,0.16841572682327333
Beta,0.1418121451831384
IdioVol3F,0.13855243895846753
BetaFP,0.1197180684495649
